Рейтинг;Ник;Имя;Категория;Подписчики
1;jlo;Jennifer Lopez;Music, Cinema & Actors/actresses;252.4M
2;vindiesel;Vin Diesel;Cinema & Actors/actresses;101.1M
3;judebellingham;Jude Bellingham;Lifestyle, Sports with a ball;18.9M
4;cznburak;Burak Özdemir;Food & Cooking;54.1M
5;emrata;Emily Ratajkowski;Modeling;30.3M
6;thenotoriousmma;Conor McGregor Official;Fitness & Gym;46.8M
7;enzozelocchi;Enzo Zelocchi;Cinema & Actors/actresses;14.4M
8;hannahstocking;Hannah Stocking;Modeling;25.9M
9;vladimirshmondenko;VLADIMIR1 & mr ANATOLY;Fitness & Gym;10.1M
10;hakkiakdenizz;hakki akdeniz;Business & Careers;30.5M
11;otabek_muhammadalievich;Otabek Umarov;;26.4M
12;pugachevmark;Mark Pugachev;Cars & Motorbikes, Luxury;19.6M
13;tamaaev;Тамаев Асхаб;Fitness & Gym;13.1M
14;snejanaonopka15;Snejana Onopka;Modeling;14.8M
15;neslihanatagul;Neslihan Atagül Doğulu;Cinema & Actors/actresses, Modeling;14.2M
16;djeiran_han;Джейран Касымова;Family;7M
17;araikgalstyanmoscowschool;ARAIK GALSTYAN;Beauty;22M
18;evcenf;Fahriye Evcen Özçivit;Lifestyle, Beauty;13.7M
19;adamweitsman;Adam Weitsman;Business & Careers;19.6M
20;leonardodicaprio;Leonardo DiCaprio;Cinema & Actors/actresses;61.6M
21;rahimabramov;Rakhim;Shows;6.2M
22;kashikakapoor09;Kashika Kapoor;Beauty, Lifestyle, Cinema & Actors/actresses;15.7M
23;irinashayk;irina shayk;Modeling;23.2M
24;larissamanoela;Larissa Manoela;Cinema & Actors/actresses;53M
25;shelengovskiy;Dmitriy Shelengovskiy;Art/Artists;13.7M
26;rosiehw;Rosie HW;Modeling;19.5M
27;tatawerneck;Tata Werneck;Cinema & Actors/actresses, Family;56.8M
28;eilirjani;Elton ILIRJANI;Adult content;11.8M
29;limitless;Jas Mathur;Business & Careers, Management & Marketing;12.1M
30;jcvd;Jean-Claude Van Damme;Cinema & Actors/actresses;7.9M
31;brianmaps;Брайн Мапс (Макс Тарасенко);;5.9M
32;chrismcg;Christopher McGinnis;;10.2M
33;ufc;UFC;Extreme Sports & Outdoor activity, Shows;38.1M
34;rafiqkhalid;❥ Khalid Rafiq 👑💫;Lifestyle;4.1M
35;bmw;BMW;Cars & Motorbikes;37.6M
36;kvara7;Khvicha Kvaratskhelia;;3.6M
37;dior;Dior Official;Fashion, Clothing & Outfits, Accessories & Jewellery;45.3M
38;islam_makhachev;Islam_Makhachev;Fitness & Gym;6.8M
39;nazar_8888_;Nazar Babenko;;12.3M
40;love__rose92;Liubava Rose ❤️🌹;Nature & landscapes, Lifestyle, Travel;5.8M
41;katyagorod;Ekaterina Gorodnicheva;Travel, Lifestyle;6.4M
42;justking31;Nurtaza Nurbek;Humor & Fun & Happiness, Family;6.5M
43;abdu_rozik;Abduroziq Official;Music, Shows;8.3M
44;klavacoca;КЛАВА КОКА | Black Star;Music;8.1M
45;andreybatt;ANDREY BATT;;10.8M
46;juliaroberts;Julia Roberts;Cinema & Actors/actresses;11.4M
47;helen_yes1;Елена Сажина;Cinema & Actors/actresses;10.2M
48;urgantcom;Иван Ургант;Shows, Cinema & Actors/actresses;11.8M
49;mercedesbenz;Mercedes-Benz;Cars & Motorbikes, Luxury;37.9M
50;camerondiaz;Cameron Diaz;Cinema & Actors/actresses;11.7M
